Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
4C:6B:E8:A8:E3:A5, 2019-11-15 22:13:22, 2019-11-15 22:13:22, -91,        1, (not associated) ,wpa.mcgill.ca
00:80:92:AE:46:93, 2019-11-15 22:13:18, 2019-11-15 22:13:33, -88,       32, 66:2A:2F:53:7C:99,
D0:2B:20:73:9E:64, 2019-11-15 22:13:18, 2019-11-15 22:13:18, -86,        2, (not associated) ,wpa.mcgill.ca
8C:70:5A:7F:CA:60, 2019-11-15 22:13:24, 2019-11-15 22:13:24, -85,        1, (not associated) ,
F0:98:9D:21:5C:00, 2019-11-15 22:13:24, 2019-11-15 22:13:25, -85,        2, (not associated) ,
BC:83:85:E0:FB:10, 2019-11-15 22:13:30, 2019-11-15 22:13:34, -76,        2, 44:48:C1:A4:2C:60,
B4:04:18:56:D1:D4, 2019-11-15 22:13:25, 2019-11-15 22:13:33, -93,        2, D8:C7:C8:96:CD:B2,
A4:08:EA:8B:E7:01, 2019-11-15 22:13:32, 2019-11-15 22:13:32, -74,        1, (not associated) ,abbassucks
3C:F0:11:7B:D8:4C, 2019-11-15 22:13:27, 2019-11-15 22:13:30, -70,        3, (not associated) ,
00:13:EF:8B:01:DB, 2019-11-15 22:13:19, 2019-11-15 22:13:19, -68,        2, 44:48:C1:A4:62:00,
B4:B6:76:74:25:4D, 2019-11-15 22:13:23, 2019-11-15 22:13:23, -68,        1, (not associated) ,
00:9D:6B:F3:26:D2, 2019-11-15 22:13:30, 2019-11-15 22:13:30, -67,        3, (not associated) ,
48:45:20:50:05:05, 2019-11-15 22:13:23, 2019-11-15 22:13:23, -66,        1, 44:48:C1:A4:32:A0,
C4:85:08:82:16:99, 2019-11-15 22:13:33, 2019-11-15 22:13:33, -67,        2, (not associated) ,
18:56:80:5B:7E:67, 2019-11-15 22:13:26, 2019-11-15 22:13:26, -65,        1, (not associated) ,
B4:B6:76:73:F9:33, 2019-11-15 22:13:29, 2019-11-15 22:13:29, -65,        3, (not associated) ,
A0:A8:CD:7A:FC:BA, 2019-11-15 22:13:28, 2019-11-15 22:13:28, -63,        3, (not associated) ,
60:8C:4A:59:0A:F0, 2019-11-15 22:13:21, 2019-11-15 22:13:21, -62,        7, 44:48:C1:A4:2C:10,
E4:A4:71:35:26:E0, 2019-11-15 22:13:24, 2019-11-15 22:13:24, -58,        4, (not associated) ,
48:60:5F:32:13:99, 2019-11-15 22:13:27, 2019-11-15 22:13:30, -58,        3, (not associated) ,wpa.mcgill.ca
28:16:A8:6F:60:75, 2019-11-15 22:13:33, 2019-11-15 22:13:33, -80,        1, 44:48:C1:A4:58:A0,
98:22:EF:68:A7:91, 2019-11-15 22:13:34, 2019-11-15 22:13:34, -79,        2, (not associated) ,
F0:18:98:24:3B:E1, 2019-11-15 22:13:34, 2019-11-15 22:13:35, -51,        4, (not associated) ,

